Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
545054,22120,WELCOME  WOODEN BLOCK LETTERS,2.0,2011-02-27 12:41:00,9.95,14472.0,United Kingdom
580360,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,12.0,2011-12-02 16:14:00,2.95,14493.0,United Kingdom
570249,22751,FELTCRAFT PRINCESS OLIVIA DOLL bad_value,4.0,,3.75,17509.0,United Kingdom bad_value
567678,23245,SET OF 3 REGENCY CAKE TINS,4.0,2011-09-21 15:57:00,4.95,15399.0,United Kingdom
546479,20750,RED RETROSPOT MINI CASES,2.0,2011-03-14 11:38:00,7.95,12682.0,France
569688,21328,BALLOONS  WRITING SET,1.0,2011-10-05 14:55:00,1.65,15048.0,United Kingdom
579558,21181,PLEASE ONE PERSON METAL SIGN,12.0,2011-11-30 11:24:00,2.1,14755.0,United Kingdom
573500,22147,FELTCRAFT BUTTERFLY HEARTS,2.0,2011-10-31 12:01:00,1.45,16931.0,United Kingdom
571714,22361,GLASS JAR DAISY FRESH COTTON WOOL,1.0,2011-10-18 17:00:00,5.79,,United Kingdom
540635,22456,NATURAL SLATE CHALKBOARD LARGE,6.0,2011-01-10 12:03:00,4.95,14229.0,United Kingdom
546982,84596G,SMALL CHOCOLATES PINK BOWL INVALID,1.0,,0.42,15483.0,United Kingdom ???
553930,23209,LUNCH BAG DOILEY PATTERN,40.0,2011-05-20 10:22:00,1.65,13178.0,United Kingdom
541783,84978,HANGING HEART JAR T-LIGHT HOLDER,36.0,2011-01-21 11:55:00,1.06,16618.0,United Kingdom
54725000.000,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,2.0,2011-03-22 09:30:00,7.46,,United Kingdom
54064200.000,22423,REGENCY CAKESTAND 3 TIER ###,1.0,,12.75,12681.0,France
581010,22757,LARGE RED BABUSHKA NOTEBOOK,12.0,2011-12-07 09:18:00,0.39,17503.0,United Kingdom
566871,23318,BOX OF 6 MINI VINTAGE CRACKERS INVALID,6.0,,2.49,17047.0,United Kingdom INVALID
569020,22274,FELTCRAFT DOLL EMILY,6.0,2011-09-30 09:39:00,2.95,15321.0,United Kingdom
564740,21581,SKULLS  DESIGN  COTTON TOTE BAG,1.0,2011-08-28 14:39:00,2.25,14044.0,United Kingdom
556527,23298,SPOTTY BUNTING,2.0,2011-06-13 11:33:00,4.95,16205.0,United Kingdom
536769,84347,ROTATING SILVER ANGELS T-LIGHT HLDR bad_value,18.0,,2.55,17581.0,United Kingdom
572669,23101,SILVER STARS TABLE DECORATION,2.0,2011-10-25 13:10:00,0.83,16549.0,United Kingdom
564050,21936,RED RETROSPOT PICNIC BAG,5.0,2011-08-22 13:32:00,2.95,17160.0,United Kingdom
556218,22969,HOMEMADE JAM SCENTED CANDLES INVALID,12.0,,1.45,17731.0,United Kingdom mixed_CASE
543124,22752,SET 7 BABUSHKA NESTING BOXES,60.0,2011-02-03 14:15:00,8.5,15311.0,United Kingdom
579458,22629,SPACEBOY LUNCH BOX,1.0,2011-11-29 14:38:00,1.95,16549.0,United Kingdom
575583,23295,SET OF 12 MINI LOAF BAKING CASES,1.0,2011-11-10 11:55:00,0.83,14456.0,United Kingdom
569803,22178,VICTORIAN GLASS HANGING T-LIGHT,18.0,2011-10-06 11:48:00,1.95,13090.0,United Kingdom
560441,22605,WOODEN CROQUET GARDEN SET ###,4.0,,12.75,14029.0,United Kingdom INVALID
567184,23294,SET OF 6 SNACK LOAF BAKING CASES,2.0,2011-09-18 15:41:00,0.83,16033.0,United Kingdom
570108,1409580.000,VINTAGE DOILY TRAVEL SEWING KIT,10.0,2011-10-07 12:25:00,1.95,13004.0,United Kingdom
573175,23078,ICE CREAM PEN LIP GLOSS,24.0,2011-10-28 10:27:00,1.25,15096.0,United Kingdom
545685,21422,PORCELAIN ROSE SMALL,3.0,2011-03-06 11:55:00,0.85,14499.0,United Kingdom
560772,84596G,SMALL CHOCOLATES PINK BOWL,2.0,2011-07-20 16:12:00,0.83,,United Kingdom
578702,23582,VINTAGE DOILY JUMBO BAG RED @@@,20.0,,2.08,15382.0,United Kingdom mixed_CASE
580673,21181,PLEASE ONE PERSON METAL SIGN,12.0,2011-12-05 14:30:00,2.1,13089.0,United Kingdom
541870,22960,JAM MAKING SET WITH JARS,1.0,2011-01-24 09:39:00,8.29,,United Kingdom
580972,22185,SLATE TILE NATURAL HANGING,12.0,2011-12-06 15:10:00,0.79,15194.0,United Kingdom
573289,22728,ALARM CLOCK BAKELIKE PINK INVALID,8.0,,3.75,762300.0,Germany ###
563354,22607,WOODEN ROUNDERS GARDEN SET,1.0,2011-08-15 14:35:00,9.95,15271.0,United Kingdom
545699,22918,HERB MARKER PARSLEY mixed_CASE,3.0,,0.65,15572.0,United Kingdom ###
572671,23421,PANTRY HOOK SPATULA,12.0,2011-10-25 13:14:00,2.08,13340.0,United Kingdom
566163,20682,RED RETROSPOT CHILDRENS UMBRELLA,12.0,2011-09-09 11:48:00,3.25,12637.0,France
539436,22224,WHITE LOVEBIRD LANTERN,1.0,2010-12-17 14:49:00,5.91,,United Kingdom
549751,22919,HERB MARKER MINT,24.0,2011-04-12 10:58:00,0.65,13089.0,United Kingdom
